"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","210","User can open Services page","","2026-03-24","passed","2026-03-24","","","",""
"","152","Update user with PUT","","2026-03-24","passed","2026-03-24","","","",""
"","12","Create user","","2026-03-24","passed","2026-03-24","","","",""
"","40","Delete user","","2026-03-24","passed","2026-03-24","","","",""
"","370","Patch user with email","","2026-03-24","passed","2026-03-24","","","",""
"","273","User can open Main page","","2026-03-24","passed","2026-03-24","","","",""
"","199","User can open Careers page","","2026-03-24","passed","2026-03-24","","","",""
"","13","Create user","","2026-03-24","passed","2026-03-24","","","",""
"","243","User can open Insights page","","2026-03-24","passed","2026-03-24","","","",""
"","304","User can open About page","","2026-03-24","passed","2026-03-24","","","",""
"","20","Update user with PUT","","2026-03-24","passed","2026-03-24","","","",""
"","520","Create user","","2026-03-24","passed","2026-03-24","","","",""
"","21","Update user with PUT","","2026-03-24","passed","2026-03-24","","","",""
"","19","Create user","","2026-03-24","passed","2026-03-24","","","",""
"","248","Delete user","","2026-03-24","passed","2026-03-24","","","",""
